 source_id | is_locked |          create_dt           | error_count
-----------+-----------+------------------------------+-------------
         2 | t         | 2024-03-18 07:07:25.92729+00 |           2
        12 | t         | 2024-03-18 07:07:25.92729+00 |           1
        13 | t         | 2024-03-18 07:07:25.92729+00 |           0
        15 | t         | 2024-03-18 07:07:25.92729+00 |          76
        17 | t         | 2024-03-18 07:07:25.92729+00 |           8
        19 | t         | 2024-03-18 07:07:25.92729+00 |           0
        20 | t         | 2024-03-18 07:07:25.92729+00 |          31
        21 | t         | 2024-03-18 07:07:25.92729+00 |          17
        24 | t         | 2024-03-18 07:07:25.92729+00 |          40
        30 | t         | 2024-03-18 07:07:25.92729+00 |          27
        31 | t         | 2024-03-18 07:07:25.92729+00 |           1
        33 | t         | 2024-03-18 07:07:25.92729+00 |          20
        34 | t         | 2024-03-18 07:07:25.92729+00 |           3
        35 | t         | 2024-03-18 07:07:25.92729+00 |           0
        45 | t         | 2024-03-18 07:07:25.92729+00 |           1
        53 | t         | 2024-03-18 07:07:25.92729+00 |          31
        58 | t         | 2024-03-18 07:07:25.92729+00 |           9
        67 | t         | 2024-03-18 07:07:25.92729+00 |         241
        68 | t         | 2024-03-18 07:07:25.92729+00 |          22
        70 | t         | 2024-03-18 07:07:25.92729+00 |         516
        71 | t         | 2024-03-18 07:07:25.92729+00 |           2
        76 | t         | 2024-03-18 07:07:25.92729+00 |           4
        78 | t         | 2024-03-18 07:07:25.92729+00 |        2267
        82 | t         | 2024-03-18 07:07:25.92729+00 |        1353
        86 | t         | 2024-03-18 07:07:25.92729+00 |          36
        93 | t         | 2024-03-18 07:07:25.92729+00 |          11
        95 | t         | 2024-03-18 07:07:25.92729+00 |           0
        98 | t         | 2024-03-18 07:07:25.92729+00 |           0
